sig_date,code,name,tag,regime,layers,in_top5,in_wide,buy_date,buy,g20,g60,g120,maxgain,peak_off,peak_date,dd_off,maxdd,post_peak_dd,r10,end_ret,dip_first
2008-04-10,002050,三花智控,电池/家电,OSCILLATION,"all,none",True,False,2008-04-11,1.767,0.04,2.9,2.9,2.9,23,2008-05-15,119,-60.56,-61.68,-8.4,-56.5,False
2008-04-10,002179,中航光电,军工,OSCILLATION,"all,none",False,False,2008-04-11,1.747,5.99,5.99,5.99,5.99,16,2008-05-07,120,-59.41,-61.7,-9.17,-59.41,False
2008-04-10,600089,特变电工,光伏,OSCILLATION,"all,none",False,False,2008-04-11,4.029,20.85,22.01,22.01,22.01,27,2008-05-22,45,-21.22,-35.43,4.13,-6.53,False
2008-04-10,600111,北方稀土,有色金属,OSCILLATION,"all,none",False,False,2008-04-11,3.831,34.98,35.33,35.33,35.33,22,2008-05-15,107,-56.75,-68.04,-1.85,-54.14,False
2008-04-10,600276,恒瑞医药,创新药/医药,OSCILLATION,"all,none",True,False,2008-04-11,2.78,17.03,22.21,22.21,22.21,22,2008-05-14,108,-18.36,-33.2,4.26,-8.62,False
2008-04-10,600487,亨通光电,通信,OSCILLATION,"all,none",False,False,2008-04-11,2.435,0.22,3.32,3.32,3.32,22,2008-05-15,120,-60.42,-61.69,-18.62,-60.25,False
2008-04-17,000657,中钨高新,有色金属,CRASH,"all,none",False,False,2008-04-18,4.592,14.13,14.13,14.13,14.13,11,2008-05-15,95,-76.63,-79.52,8.34,-60.89,False
2008-04-17,002050,三花智控,电池/家电,CRASH,"all,none",True,False,2008-04-18,1.563,16.36,16.36,16.36,16.36,18,2008-05-15,114,-55.4,-61.68,11.41,-48.18,False
2008-04-17,600030,中信证券,证券,CRASH,"all,none",False,False,2008-04-18,12.626,64.93,64.93,64.93,64.93,11,2008-05-06,106,-39.73,-63.46,54.04,-28.84,False
2008-04-17,600089,特变电工,光伏,CRASH,"all,none",False,False,2008-04-18,3.52,38.33,39.65,39.65,39.65,22,2008-05-22,40,-9.83,-35.43,24.66,9.58,False
2008-04-17,600111,北方稀土,有色金属,CRASH,"all,none",False,False,2008-04-18,3.286,57.76,57.76,57.76,57.76,17,2008-05-15,102,-49.58,-68.04,34.76,-47.68,False
2008-04-17,601898,中煤能源,煤炭,CRASH,"all,none",False,False,2008-04-18,11.149,20.6,25.89,25.89,25.89,23,2008-05-22,120,-59.31,-67.68,14.15,-59.31,False
