code,name,period,hold_ratio,hold_ratio_change,n_funds
000498,山东路桥,2026-06-30,61.3141,-1.1941,45
000501,武商集团,2025-12-31,47.8851,0.4484,47
000501,武商集团,2026-03-31,46.5215,-1.3636,1
000501,武商集团,2026-06-30,46.6705,0.1490,18
000503,国新健康,2025-12-31,31.2374,1.8898,36
000503,国新健康,2026-03-31,28.7648,-2.4726,0
000503,国新健康,2026-06-30,28.2052,-0.5596,26
000504,南华生物,2025-12-31,43.5408,0.0000,0
000504,南华生物,2026-03-31,43.5408,0.0000,0
000504,南华生物,2026-06-30,43.6286,0.0878,7
000505,京粮控股,2025-12-31,55.8491,1.9900,9
000505,京粮控股,2026-03-31,55.6360,-0.2131,0
000505,京粮控股,2026-06-30,52.0863,-3.5497,33
000506,招金黄金,2025-12-31,48.5229,7.9473,114
000506,招金黄金,2026-03-31,48.1066,-0.4163,32
000506,招金黄金,2026-06-30,48.6769,0.5703,153
000507,珠海港,2025-12-31,35.9734,0.4313,35
000507,珠海港,2026-03-31,36.5662,0.5928,0
000507,珠海港,2026-06-30,35.7351,-0.8311,14
000509,华塑控股,2025-12-31,43.3366,0.0698,10
000509,华塑控股,2026-03-31,44.2060,0.8694,1
000509,华塑控股,2026-06-30,44.5485,0.3425,24
000510,新金路,2025-12-31,20.5166,6.5825,80
000510,新金路,2026-03-31,21.4088,0.8922,21
000510,新金路,2026-06-30,30.1698,8.7610,211
000513,丽珠集团,2025-12-31,52.3079,3.8670,381
000513,丽珠集团,2026-03-31,46.4159,-5.8920,17
000513,丽珠集团,2026-06-30,49.6606,3.2447,264
000514,渝开发,2025-12-31,63.9960,-0.6222,6
000514,渝开发,2026-03-31,64.3024,0.3064,1
000514,渝开发,2026-06-30,65.3341,1.0317,24
000516,国际医学,2025-12-31,34.0628,-0.2976,6
000516,国际医学,2026-03-31,33.6380,-0.4248,0
000516,国际医学,2026-06-30,31.2397,-2.3983,3
000517,荣安地产,2025-12-31,63.9364,-0.4570,15
000517,荣安地产,2026-03-31,64.7847,0.8483,3
000517,荣安地产,2026-06-30,63.5066,-1.2781,15
000518,四环生物,2025-12-31,38.0746,0.0000,0
000518,四环生物,2026-03-31,38.9933,0.9187,0
000518,四环生物,2026-06-30,39.1947,0.2014,0
000519,中兵红箭,2025-12-31,47.1872,3.1634,240
000519,中兵红箭,2026-03-31,42.7312,-4.4560,3
000519,中兵红箭,2026-06-30,49.3352,6.6040,345
000520,凤凰航运,2025-12-31,32.0361,-0.3792,21
000520,凤凰航运,2026-03-31,31.8265,-0.2096,0
000520,凤凰航运,2026-06-30,32.3598,0.5333,18
000521,长虹美菱,2025-12-31,38.3992,-1.0110,72
000521,长虹美菱,2026-03-31,36.4318,-1.9674,6
000521,长虹美菱,2026-06-30,40.6411,4.2093,50
000523,红棉股份,2025-12-31,44.8027,-3.2042,17
000523,红棉股份,2026-03-31,40.1681,-4.6346,0
000523,红棉股份,2026-06-30,55.1374,14.9693,29
000524,岭南控股,2025-12-31,73.0272,-0.9434,17
000524,岭南控股,2026-03-31,71.2648,-1.7624,3
000524,岭南控股,2026-06-30,71.3487,0.0839,27
000525,红太阳,2025-12-31,31.7668,-0.7572,1
000525,红太阳,2026-03-31,31.0153,-0.7515,2
000525,红太阳,2026-06-30,29.4848,-1.5305,7
000526,学大教育,2025-12-31,55.3296,7.3178,100
000526,学大教育,2026-03-31,45.7587,-9.5709,5
000526,学大教育,2026-06-30,47.1764,1.4177,91
000528,柳工,2025-12-31,56.2847,14.3891,436
000528,柳工,2026-03-31,39.9398,-16.3449,28
000528,柳工,2026-06-30,39.9357,-0.0041,253
000529,广弘控股,2025-12-31,58.0116,0.4899,38
000529,广弘控股,2026-03-31,56.5491,-1.4625,1
000529,广弘控股,2026-06-30,56.5996,0.0505,32
000530,冰山冷热,2025-12-31,31.1499,2.6657,10
000530,冰山冷热,2026-03-31,29.4138,-1.7361,0
000530,冰山冷热,2026-06-30,28.4893,-0.9245,3
000531,穗恒运A,2025-12-31,59.2579,0.9002,73
000531,穗恒运A,2026-03-31,57.5307,-1.7272,1
000531,穗恒运A,2026-06-30,56.9877,-0.5430,33
000532,华金资本,2025-12-31,49.4723,-0.7781,24
000532,华金资本,2026-03-31,50.6022,1.1299,2
000532,华金资本,2026-06-30,49.4055,-1.1967,23
000533,顺钠股份,2025-12-31,21.3738,1.0609,9
000533,顺钠股份,2026-03-31,24.4719,3.0981,0
000533,顺钠股份,2026-06-30,25.7219,1.2500,44
000534,万泽股份,2025-12-31,51.8658,21.3201,226
000534,万泽股份,2026-03-31,49.7537,-2.1121,65
000534,万泽股份,2026-06-30,57.8322,8.0785,371
000536,华映科技,2025-12-31,45.5991,-0.4377,1
000536,华映科技,2026-03-31,44.3597,-1.2394,0
000536,华映科技,2026-06-30,43.6499,-0.7098,2
000537,绿发电力,2025-12-31,72.5311,0.9374,110
000537,绿发电力,2026-03-31,71.6788,-0.8523,4
000537,绿发电力,2026-06-30,71.7907,0.1119,115
000538,云南白药,2025-12-31,68.7462,3.0991,554
000538,云南白药,2026-03-31,67.9231,-0.8231,33
000538,云南白药,2026-06-30,66.5170,-1.4061,533
000539,粤电力A,2025-12-31,73.9659,0.7937,130
000539,粤电力A,2026-03-31,73.1762,-0.7897,0
000539,粤电力A,2026-06-30,69.8769,-3.2993,128
000540,*ST中天,2025-12-31,0.0002,,1
000540,*ST中天,2026-06-30,0.0002,,1
000541,佛山照明,2025-12-31,53.2312,0.1717,29
000541,佛山照明,2026-03-31,52.6965,-0.5347,1
000541,佛山照明,2026-06-30,50.3173,-2.3792,16
000543,皖能电力,2025-12-31,66.7598,2.9782,269
000543,皖能电力,2026-03-31,62.5735,-4.1863,7
000543,皖能电力,2026-06-30,67.2233,4.6498,143
000544,中原环保,2025-12-31,78.7828,0.0852,34
000544,中原环保,2026-03-31,79.0562,0.2734,1
000544,中原环保,2026-06-30,78.7066,-0.3496,53
000545,金浦钛业,2025-12-31,14.7605,-6.6208,1
000545,金浦钛业,2026-03-31,16.8700,2.1095,0
000545,金浦钛业,2026-06-30,15.2341,-1.6359,6
000546,金圆股份,2025-12-31,34.7036,0.0113,1
000546,金圆股份,2026-03-31,37.7546,3.0510,1
000546,金圆股份,2026-06-30,34.3501,-3.4045,13
000547,航天发展,2025-12-31,28.6513,1.2957,91
000547,航天发展,2026-03-31,23.5262,-5.1251,17
000547,航天发展,2026-06-30,26.1584,2.6322,127
000548,湖南投资,2025-12-31,34.0357,1.1325,47
000548,湖南投资,2026-03-31,34.7990,0.7633,1
000548,湖南投资,2026-06-30,35.1406,0.3416,65
000550,江铃汽车,2025-12-31,75.3510,3.2218,87
000550,江铃汽车,2026-03-31,71.7160,-3.6350,6
000550,江铃汽车,2026-06-30,75.9111,4.1951,186
000551,创元科技,2025-12-31,37.8280,1.5626,32
000551,创元科技,2026-03-31,37.3460,-0.4820,2
000551,创元科技,2026-06-30,39.8520,2.5060,77
000552,甘肃能化,2025-12-31,52.5963,1.9432,55
000552,甘肃能化,2026-03-31,49.7571,-2.8392,3
000552,甘肃能化,2026-06-30,51.9044,2.1473,98
000553,安道麦A,2025-12-31,87.5302,-0.2664,97
000553,安道麦A,2026-03-31,86.3569,-1.1733,3
000553,安道麦A,2026-06-30,86.5242,0.1673,69
000554,泰山石油,2025-12-31,3.0986,2.1114,43
000554,泰山石油,2026-03-31,0.7941,-2.3045,0
000554,泰山石油,2026-06-30,3.8876,3.0935,59
000555,神州信息,2025-12-31,50.8351,2.0718,180
000555,神州信息,2026-03-31,45.6796,-5.1555,7
000555,神州信息,2026-06-30,47.6577,1.9781,105
000557,西部创业,2025-12-31,59.4508,0.5780,24
000557,西部创业,2026-03-31,58.2304,-1.2204,0
000557,西部创业,2026-06-30,58.3999,0.1695,18
000558,天府文旅,2025-12-31,36.7955,1.3863,8
000558,天府文旅,2026-03-31,37.5277,0.7322,1
000558,天府文旅,2026-06-30,37.3550,-0.1727,11
000559,万向钱潮,2025-12-31,68.9539,0.9910,112
000559,万向钱潮,2026-03-31,68.4586,-0.4953,8
000559,万向钱潮,2026-06-30,68.5413,0.0827,146
000560,我爱我家,2025-12-31,38.4695,-0.3298,65
000560,我爱我家,2026-03-31,38.7288,0.2593,7
000560,我爱我家,2026-06-30,37.7526,-0.9762,45
000561,烽火电子,2025-12-31,60.2701,12.7988,18
000561,烽火电子,2026-03-31,47.2710,-12.9991,1
000561,烽火电子,2026-06-30,52.0656,4.7946,17
000563,陕国投A,2025-12-31,53.3744,0.7810,128
000563,陕国投A,2026-03-31,51.8989,-1.4755,1
000563,陕国投A,2026-06-30,51.4323,-0.4666,51
000564,供销大集,2025-12-31,39.8725,-0.6406,21
000564,供销大集,2026-03-31,41.3639,1.4914,1
000564,供销大集,2026-06-30,40.3279,-1.0360,14
000565,渝三峡A,2025-12-31,41.3887,-0.0612,12
000565,渝三峡A,2026-03-31,41.6623,0.2736,1
000565,渝三峡A,2026-06-30,44.5119,2.8496,72
000566,海南海药,2025-12-31,30.9424,-2.0807,17
000566,海南海药,2026-03-31,29.2751,-1.6673,0
000566,海南海药,2026-06-30,28.1646,-1.1105,18
000567,海德股份,2025-12-31,77.6453,0.1710,27
000567,海德股份,2026-03-31,77.1436,-0.5017,1
000567,海德股份,2026-06-30,77.6065,0.4629,75
000568,泸州老窖,2025-12-31,76.3727,4.8082,927
000568,泸州老窖,2026-03-31,70.2629,-6.1098,120
000568,泸州老窖,2026-06-30,70.4029,0.1400,591
000570,苏常柴A,2025-12-31,43.5937,1.7528,38
000570,苏常柴A,2026-03-31,43.7933,0.1996,3
000570,苏常柴A,2026-06-30,44.7587,0.9654,59
000571,新大洲A,2025-12-31,32.1115,-2.2530,1
000571,新大洲A,2026-03-31,30.3459,-1.7656,0
000571,新大洲A,2026-06-30,31.2049,0.8590,5
000572,海马汽车,2025-12-31,35.4388,-0.6069,7
000572,海马汽车,2026-03-31,35.6443,0.2055,0
000572,海马汽车,2026-06-30,38.5913,2.9470,48
000573,粤宏远A,2025-12-31,24.5004,0.6079,25
000573,粤宏远A,2026-03-31,24.0120,-0.4884,0
000573,粤宏远A,2026-06-30,25.0123,1.0003,27
000576,甘化科工,2025-12-31,43.2906,2.9657,133
000576,甘化科工,2026-03-31,40.4420,-2.8486,4
000576,甘化科工,2026-06-30,40.4081,-0.0339,57
000581,威孚高科,2025-12-31,49.7974,2.6038,212
000581,威孚高科,2026-03-31,48.4944,-1.3030,10
000581,威孚高科,2026-06-30,48.3977,-0.0967,141
000582,北部湾港,2025-12-31,68.9646,4.3407,150
000582,北部湾港,2026-03-31,62.5186,-6.4460,7
000582,北部湾港,2026-06-30,61.9845,-0.5341,113
000586,汇源通信,2025-12-31,39.5407,3.8311,56
000586,汇源通信,2026-03-31,40.3666,0.8259,0
000586,汇源通信,2026-06-30,37.8091,-2.5575,26
000589,贵州轮胎,2025-12-31,33.2247,7.0633,229
000589,贵州轮胎,2026-03-31,27.5498,-5.6749,14
000589,贵州轮胎,2026-06-30,31.0495,3.4997,223
000590,古汉医药,2025-12-31,47.1313,1.6335,14
000590,古汉医药,2026-03-31,48.5609,1.4296,0
000590,古汉医药,2026-06-30,48.4505,-0.1104,30
000591,太阳能,2025-12-31,43.0224,0.3693,155
000591,太阳能,2026-03-31,39.8601,-3.1623,6
000591,太阳能,2026-06-30,42.2868,2.4267,150
000592,平潭发展,2025-12-31,21.1924,1.9305,12
000592,平潭发展,2026-03-31,23.8207,2.6283,3
000592,平潭发展,2026-06-30,23.1385,-0.6822,42
000593,德龙汇能,2025-12-31,39.5216,-3.2911,6
000593,德龙汇能,2026-03-31,38.3284,-1.1932,0
000593,德龙汇能,2026-06-30,39.7837,1.4553,43
000595,新能股份,2025-12-31,61.2919,-4.3897,0
000595,新能股份,2026-03-31,58.6558,-2.6361,0
000595,新能股份,2026-06-30,58.8991,0.2433,0
000596,古井贡酒,2025-12-31,85.8390,5.6382,473
000596,古井贡酒,2026-03-31,77.3951,-8.4439,28
000596,古井贡酒,2026-06-30,82.0376,4.6425,367
000597,东北制药,2025-12-31,58.4720,1.2426,84
000597,东北制药,2026-03-31,57.0924,-1.3796,3
000597,东北制药,2026-06-30,57.4669,0.3745,49
000598,兴蓉环境,2025-12-31,67.1674,4.7682,386
000598,兴蓉环境,2026-03-31,62.4631,-4.7043,7
000598,兴蓉环境,2026-06-30,66.9458,4.4827,275
000599,青岛双星,2025-12-31,41.5522,-0.5031,15
000599,青岛双星,2026-03-31,41.9005,0.3483,0
000599,青岛双星,2026-06-30,43.0044,1.1039,38
000600,建投能源,2025-12-31,58.5742,7.3886,312
000600,建投能源,2026-03-31,50.9282,-7.6460,22
000600,建投能源,2026-06-30,53.5115,2.5833,153
000601,韶能股份,2025-12-31,35.4091,-0.4513,61
000601,韶能股份,2026-03-31,33.9227,-1.4864,0
000601,韶能股份,2026-06-30,33.3124,-0.6103,26
000603,盛达资源,2025-12-31,58.8949,8.1644,369
000603,盛达资源,2026-03-31,46.6344,-12.2605,35
